filename, language, JSON, C++, Markdown, PHP, JavaScript, HTML, Vue, CSS, SQL, XML, SCSS, comment, blank, total
/Users/jens/Documents/GitHub/pxliot/api/docs/scripts/linenumber.js, JavaScript, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 1, 3, 26
/Users/jens/Documents/GitHub/pxliot/api/docs/scripts/prettify/lang-css.js, JavaScript, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
/Users/jens/Documents/GitHub/pxliot/api/docs/scripts/prettify/prettify.js, JavaScript, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 29
/Users/jens/Documents/GitHub/pxliot/api/docs/styles/jsdoc-default.css, CSS, 0, 0, 0, 0, 0, 0, 0, 304, 0, 0, 0, 0, 55, 359
/Users/jens/Documents/GitHub/pxliot/api/docs/styles/prettify-jsdoc.css, CSS, 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 0, 17, 17, 112
/Users/jens/Documents/GitHub/pxliot/api/docs/styles/prettify-tomorrow.css, CSS, 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 33, 26, 133
/Users/jens/Documents/GitHub/pxliot/api/docs/update.js.html, HTML, 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 3, 23, 92
/Users/jens/Documents/GitHub/pxliot/api/jsdoc.json, JSON, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
/Users/jens/Documents/GitHub/pxliot/api/package-lock.json, JSON, 654, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 655
/Users/jens/Documents/GitHub/pxliot/api/package.json, JSON, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21
/Users/jens/Documents/GitHub/pxliot/api/routes/add.js, JavaScript, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 35, 9, 75
/Users/jens/Documents/GitHub/pxliot/api/routes/delete.js, JavaScript, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 38, 9, 88
/Users/jens/Documents/GitHub/pxliot/api/routes/get.js, JavaScript, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 46, 11, 109
/Users/jens/Documents/GitHub/pxliot/api/routes/index.js, JavaScript, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 13, 5, 24
/Users/jens/Documents/GitHub/pxliot/api/routes/update.js, JavaScript, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 38, 10, 95
/Users/jens/Documents/GitHub/pxliot/app/app.ino, C++, 0, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 23, 159
/Users/jens/Documents/GitHub/pxliot/client/.eslintrc.js, JavaScript, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 1, 2, 25
/Users/jens/Documents/GitHub/pxliot/client/README.md, Markdown, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 30
/Users/jens/Documents/GitHub/pxliot/client/babel.config.js, JavaScript, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
/Users/jens/Documents/GitHub/pxliot/client/dist/css/app.a578b966.css, CSS, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2
/Users/jens/Documents/GitHub/pxliot/client/dist/css/chunk-vendors.1daad6ca.css, CSS, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
/Users/jens/Documents/GitHub/pxliot/client/dist/index.html, HTML, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
/Users/jens/Documents/GitHub/pxliot/client/dist/js/app.c2c27365.js, JavaScript, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2
/Users/jens/Documents/GitHub/pxliot/client/dist/js/chunk-vendors.57b9b678.js, JavaScript, 0, 0, 0, 0, 338, 0, 0, 0, 0, 0, 0, 26, 0, 364
/Users/jens/Documents/GitHub/pxliot/client/docs/Add.vue.html, HTML, 0, 0, 0, 0, 0, 228, 0, 0, 0, 0, 0, 3, 33, 264
/Users/jens/Documents/GitHub/pxliot/client/docs/Dashboard.vue.html, HTML, 0, 0, 0, 0, 0, 422, 0, 0, 0, 0, 0, 3, 48, 473
/Users/jens/Documents/GitHub/pxliot/client/docs/Delete.vue.html, HTML, 0, 0, 0, 0, 0, 170, 0, 0, 0, 0, 0, 3, 33, 206
